Ref,Val,Package,PosX,PosY,Rot,Side
"C1","104","C_0805_2012Metric",298.580837,-112.974174,315.000000,bottom
"C2","104","C_0805_2012Metric",288.925000,-83.200000,270.000000,bottom
"C3","104","C_0805_2012Metric",307.181250,-43.656250,180.000000,bottom
"C4","104","C_0805_2012Metric",423.862500,-44.450000,180.000000,bottom
"C5","1uF","C_0805_2012Metric",357.500000,-123.062500,90.000000,bottom
"C6","1uF","C_0805_2012Metric",375.250000,-116.437500,270.000000,bottom
"C7","1uF","C_0805_2012Metric",370.031250,-127.000000,0.000000,bottom
"C8","1uF","C_0805_2012Metric",358.000000,-114.687500,270.000000,bottom
"C9","22pF","C_0805_2012Metric",380.812500,-121.500000,0.000000,bottom
"C10","22pF","C_0805_2012Metric",380.750000,-115.750000,180.000000,bottom
"C11","1uF","C_0805_2012Metric",365.500000,-108.500000,180.000000,bottom
"C12","104","C_0805_2012Metric",443.706250,-83.343750,90.000000,bottom
"C13","104","C_0805_2012Metric",434.312087,-113.375413,45.000000,bottom
"C14","104","C_0805_2012Metric",365.918750,-98.425000,0.000000,bottom
"D1","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",294.412500,-117.462500,315.000000,bottom
"D2","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",282.562500,-83.412500,270.000000,bottom
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",307.112500,-38.100000,180.000000,bottom
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",423.793750,-38.112500,180.000000,bottom
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",448.468750,-83.412500,90.000000,bottom
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",438.150000,-117.475000,45.000000,bottom
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",365.918750,-92.868750,0.000000,bottom
"F1","Polyfuse_Small","Fuse_1206_3216Metric",331.500000,-43.150000,90.000000,bottom
"R1","220","R_0805_2012Metric",364.000000,-58.562500,270.000000,bottom
"R2","22","R_0805_2012Metric",324.000000,-48.687500,90.000000,bottom
"R3","22","R_0805_2012Metric",326.750000,-48.687500,90.000000,bottom
"R4","10K","R_0805_2012Metric",375.812500,-110.250000,180.000000,bottom
"R5","10K","R_0805_2012Metric",360.500000,-127.000000,0.000000,bottom
"R6","5.1k","R_0805_2012Metric",322.250000,-42.937500,90.000000,bottom
"R7","5.1k","R_0805_2012Metric",327.250000,-43.000000,90.000000,bottom
"R8","220","R_0805_2012Metric",317.500000,-90.187500,270.000000,bottom
"R9","220","R_0805_2012Metric",336.500000,-89.437500,270.000000,bottom
"R10","220","R_0805_2012Metric",374.750000,-89.187500,270.000000,bottom
"R11","220","R_0805_2012Metric",412.750000,-89.437500,270.000000,bottom
"R12","220","R_0805_2012Metric",333.500000,-127.687500,270.000000,bottom
"R13","220","R_0805_2012Metric",398.250000,-124.312500,270.000000,bottom
"SW1","SW_Push","SKQG-1155865",382.350000,-108.400000,0.000000,bottom
"U1","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",365.918750,-119.062500,270.000000,bottom
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-HandSoldering",324.643750,-30.000000,0.000000,bottom
"Y1","Crystal_GND24_Small","Crystal_SMD_3225-4Pin_3.2x2.5mm",380.850000,-118.600000,180.000000,bottom
